f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.49999999999997,125,117.85933469149559,115.8248040487253,89.45110655277261,92.12087696038645,90.12182842690623,2.2554231330455505,20.900396930796663,-75.86142478990978,57.066679495735315,-4716.339118439559,5587.156589969333,-1085.231043865434
233.49999999999997,126,117.8961518674066,115.9084507384345,89.44608718496619,92.11996166571367,90.1213747939793,2.254795581617307,20.86784950498076,-75.82505996322807,56.97295429068358,-4751.103165446712,5634.994986998432,-1084.9737914718005
233.49999999999997,127,117.93357694853142,115.99289080025595,89.44133734169455,92.1190482965339,90.12092763435749,2.2541869738028524,20.83514703382807,-75.78858064698764,56.87905923782857,-4784.839227850267,5681.323797842353,-1084.7291562999965
233.49999999999997,128,117.97156734966265,116.07805735631521,89.43684177196519,92.11813722268579,90.12048700106388,2.253597735658342,20.802307356764167,-75.75200702836594,56.785046569023095,-4817.536252408314,5726.129147750675,-1084.4970836702407
233.49999999999997,129,118.01008095724154,116.16388347888194,89.4325854739858,92.11722891057411,90.12005310366466,2.2530279217410194,20.76934830754855,-75.71535927368215,56.69087913714859,-4849.183047452854,5769.3975200592,-1084.2772610530922
233.49999999999997,130,118.04907578063946,116.2503025777352,89.42855373164772,92.116323765304,90.11962619938122,2.2524776221962894,20.73628769310736,-75.67865738774043,56.596646321487846,-4879.768812627244,5811.115735885008,-1084.0696821696963
233.49999999999997,131,118.0885102259763,116.33724810989978,89.42473214597346,92.11542213883617,90.11920640207903,2.2519470241723587,20.70314322854568,-75.64192134103618,56.50236219839581,-4909.282859710297,5851.270982797494,-1083.8741669698618
233.49999999999997,132,118.1283429756207,116.42465394673756,89.42110666300206,92.1145245306379,90.11879397262133,2.251436361549877,20.669932653575295,-75.60517093328752,56.40804590643194,-4937.714742892675,5889.850809215033,-1083.6905837847307
233.49999999999997,133,118.16853318407188,116.51245421022479,89.41766358557487,92.11363129477849,90.11838907219163,2.250945671827506,20.636673555784764,-75.56842587312474,56.31375160657978,-4965.054232869257,5926.843133176598,-1083.518749686237
233.49999999999997,134,118.20904043861589,116.60058355354114,89.41438958254186,92.11274284025058,90.11799193384843,2.250475023600639,20.603383481963554,-75.53170567214292,56.219423777910315,-4991.2913226064,5962.236255887066,-1083.358482505131
233.49999999999997,135,118.24982482890532,116.68897702757525,89.4112717600283,92.11185958191543,90.11760270626165,2.25002466493725,20.570079858142226,-75.49502971516584,56.12519347070618,-5016.416211916403,5996.0188551262945,-1083.209591535801
233.49999999999997,136,118.29084699718017,116.77757046649704,89.40829760770202,92.11098192621245,90.11722155252946,2.249594535825324,20.536779977392207,-75.45841711790501,56.03106098869124,-5040.419408566155,6028.1799735769255,-1083.0718204024365
233.49999999999997,137,118.33206827723097,116.8663001700062,89.40545509292669,92.11011026768489,90.11684861322746,2.249184793219442,20.503501101871574,-75.4218868436726,55.93704073058391,-5063.291548892794,6058.709190736465,-1082.9449311171268
233.49999999999997,138,118.37345044222751,116.95510316455741,89.4027325817807,92.10924499311666,90.11648413602092,2.2487955017384285,20.470259999468183,-75.38545766717635,55.843150604379375,-5085.02353631772,6087.596193321316,-1082.828896401859
233.49999999999997,139,118.41495619916778,117.04391743104092,89.40011899114785,92.10838649064421,90.11612821342229,2.248426668865997,20.437073745346456,-75.34914803507473,55.7494694030996,-5105.606732204381,6114.831394143911,-1082.7231544000833
233.49999999999997,140,118.45654888434956,117.13268157217139,89.39760368968416,92.10753518557813,90.11578115140952,2.248078342123368,20.403958916924037,-75.31297624729064,55.656011653381,-5125.03255783555,6140.405460346312,-1082.6275856061598
233.49999999999997,141,118.49819269033414,117.22133544307367,89.39517656385864,92.10669137480511,90.1154428415779,2.2477505774819706,20.370931922717986,-75.27696020266235,55.56278041786907,-5143.292784202985,6164.3094972310355,-1082.541888818639
233.49999999999997,142,118.53985252445344,117.30981973912965,89.39282803561066,92.10585552962246,90.11511366793624,2.2474433905933027,20.338009080624456,-75.2411175838298,55.46983197695221,-5160.379459274245,6186.535054526611,-1082.4657989139805
233.49999999999997,143,118.58149442426574,117.39807623536147,89.39054906045266,92.10502791958369,90.11479364656124,2.2471567939909014,20.30520625151725,-75.20546577508549,55.37720748024128,-5176.284928072253,6207.074110081007,-1082.3989566133312
233.49999999999997,144,118.62308508401598,117.48604799412921,89.38833115495845,92.10420900433495,90.1144828781102,2.246890755565817,20.272539290739577,-75.17002178943075,55.28491962029202,-5191.001859765609,6225.919072769322,-1082.3411004746945
233.49999999999997,145,118.66459239351677,117.57367925323275,89.38616640086983,92.10339909506675,90.11418159312792,2.2466452036887086,20.240023594258503,-75.1348023233519,55.19302322098158,-5204.523194995705,6243.062809783053,-1082.2918558928134
233.49999999999997,146,118.70598511576992,117.66091570629698,89.38404747527693,92.10259852831805,90.11388989180266,2.246420153985666,20.207674403083576,-75.09982366351123,55.10157797591567,-5216.842200034593,6258.498623430996,-1082.2509075822663
233.49999999999997,147,118.74723328455075,117.74770410767385,89.38196763014876,92.10180766843663,90.11360781364941,2.246215584945094,20.175506485299504,-75.06510186095713,55.010547116951464,-5227.952466640715,6272.22028024675,-1082.2179106449623
233.49999999999997,148,118.7883078422529,117.83399311704864,89.37992074972854,92.10102685786707,90.11333552092037,2.2460314421726415,20.143534477124152,-75.03065238766135,54.92001885082667,-5237.847928293994,6284.222000855849,-1082.1925439436811
233.49999999999997,149,118.82918095782551,117.91973275105137,89.37790129613812,92.10025644471276,90.11307318146706,2.2458675288005114,20.111772590906952,-74.99649039687577,54.83000561184713,-5246.522856207264,6294.49846416922,-1082.1743806646873
233.49999999999997,150,118.86982604690317,118.00487438224916,89.37590439391764,92.0994966827892,90.1128207866801,2.2457238491194884,20.08023465943374,-74.96263071393291,54.74056634380973,-5253.9718119035315,6303.044838615052,-1082.1630869449696
233.49999999999997,151,118.91021774997571,118.08937157893843,89.3739257757643,92.09874791124243,90.11257842806668,2.2456003056353526,20.04893415498584,-74.92908751897023,54.65170896581955,-5260.189788553326,6309.856732425287,-1082.1582877603344
233.49999999999997,152,118.95033195253298,118.17317924342687,89.37196182183872,92.09801046291813,90.11234624003673,2.2454967084344646,20.01788419843312,-74.89587470837341,54.56348849979811,-5265.172069758162,6314.930254577549,-1082.1595856100043
233.49999999999997,153,118.9901457637525,118.25625425534693,89.37000957275913,92.09728460195932,90.11212430600946,2.2454130563765635,19.987097566288348,-74.86300563851371,54.47595245678934,-5268.914328963125,6318.261989101766,-1082.1665884988724
233.49999999999997,154,119.02963782496916,118.33855540952885,89.36806668412736,92.09657060237886,90.11191272727496,2.2453491119314637,19.95658646463122,-74.83049317849719,54.389113908226506,-5271.4126067855195,6319.84899283065,-1082.1789067538207
233.49999999999997,155,119.06878799372603,118.42004328307662,89.36613149557331,92.095868786648,90.11171143060201,2.2453047048741666,19.92636282684221,-74.79834975863776,54.30300127714918,-5272.66329359651,6319.688823308501,-1082.196129213539
