f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,137,119.1168336,121.6724338,91.48248931,91.16622367,89.5482029,2.660568734,18.06385551,-72.14145199,92.16910735,-18.150995,-5031.427704,5822.39801,-782.8710964
233.68,138,118.9418567,121.3345832,91.47404157,91.16803254,89.54682385,2.646505004,18.17521691,-72.25336729,92.38506802,-18.04939989,-5081.291924,5897.823484,-786.6711937
233.68,139,118.7687207,120.9990686,91.46630203,91.16983382,89.54544202,2.63257218,18.28657522,-72.36558127,92.60053795,-17.94772986,-5129.601053,5971.292817,-790.324947
233.68,140,118.5974819,120.6660195,91.45926062,91.17162673,89.54405807,2.618773956,18.397877,-72.47804073,92.81543166,-17.84602621,-5176.347874,6042.784931,-793.8334902
233.68,141,118.4281939,120.3355601,91.45290771,91.17341043,89.5426726,2.605114881,18.50906969,-72.59069294,93.02966546,-17.74433999,-5221.526016,6112.279692,-797.1979248
233.68,142,118.2609077,120.0078102,91.44723377,91.17518418,89.54128624,2.59159564,18.62010213,-72.70348561,93.24315719,-17.64269203,-5265.129997,6179.757916,-800.4197533
233.68,143,118.095672,119.6828846,91.44222993,91.17694714,89.53989955,2.578220146,18.73092389,-72.81636708,93.45582662,-17.54113381,-5307.155074,6245.201392,-803.500137
233.68,144,117.9325326,119.3608928,91.43788788,91.17869857,89.5385132,2.564994861,18.84148595,-72.92928643,93.66759528,-17.43973344,-5347.597371,6308.592914,-806.4400078
233.68,145,117.7715335,119.0419404,91.43419922,91.1804378,89.53712779,2.551918272,18.95174014,-73.04219317,93.87838634,-17.33850004,-5386.4537,6369.916164,-809.2411686
233.68,146,117.6127157,118.7261277,91.43115647,91.18216423,89.53574381,2.53899633,19.06163998,-73.1550376,94.08812487,-17.23750474,-5423.721781,6429.155818,-811.9045784
233.68,147,117.4561185,118.4135505,91.42875228,91.18387699,89.53436193,2.526230046,19.17113951,-73.26777072,94.29673788,-17.13677704,-5459.39989,6486.297497,-814.4317407
233.68,148,117.3017784,118.1043005,91.42697987,91.18557563,89.53298265,2.51362219,19.28019461,-73.38034421,94.5041539,-17.03636503,-5493.487156,6541.32774,-816.8239999
233.68,149,117.1497303,117.7984643,91.42583297,91.18725949,89.53160649,2.501175756,19.38876178,-73.49271058,94.71030367,-16.93632014,-5525.983281,6594.234048,-819.0826377
233.68,150,117.0000066,117.4961249,91.42530547,91.18892801,89.530234,2.48888973,19.49679923,-73.60482305,94.9151195,-16.83665796,-5556.888744,6645.00481,-821.209391
233.68,151,116.8526381,117.1973601,91.42539204,91.19058053,89.52886575,2.476766678,19.60426604,-73.71663587,95.11853579,-16.73742728,-5586.204582,6693.629415,-823.2055854
233.68,152,116.7076532,116.9022447,91.42608801,91.19221668,89.52750218,2.464812124,19.71112288,-73.82810375,95.32048851,-16.63870475,-5613.932525,6740.098019,-825.0722258
233.68,153,116.5650789,116.6108485,91.42738858,91.19383583,89.52614387,2.453022274,19.81733115,-73.93918265,95.52091583,-16.54048531,-5640.074819,6784.401826,-826.8112548
233.68,154,116.4249399,116.3232378,91.42928995,91.19543759,89.5247912,2.441400313,19.92285401,-74.04982917,95.71975749,-16.44282587,-5664.63437,6826.532821,-828.4240107
233.68,155,116.2872599,116.0394752,91.43178876,91.19702143,89.52344466,2.429948567,20.02765536,-74.16000084,95.91695519,-16.34577825,-5687.614566,6866.483895,-829.9116809
233.68,156,116.1520602,115.7596193,91.43488192,91.19858692,89.52210477,2.418665982,20.13170073,-74.26965619,96.11245251,-16.24936364,-5709.019382,6904.248814,-831.2759489
